,open,high,low,close,volume,value
2025-04-29 18:22:00,136467000.0,136467000.0,136415000.0,136417000.0,0.30442166,41528784.19884
2025-04-29 18:23:00,136417000.0,136419000.0,136383000.0,136417000.0,1.20734867,164679674.61368
2025-04-29 18:24:00,136418000.0,136418000.0,136397000.0,136397000.0,0.51415653,70136101.87665
2025-04-29 18:25:00,136397000.0,136555000.0,136383000.0,136506000.0,2.38047493,324729641.00286
2025-04-29 18:26:00,136507000.0,136589000.0,136419000.0,136588000.0,1.17036252,159809287.97814
2025-04-29 18:27:00,136588000.0,136672000.0,136483000.0,136512000.0,1.82307068,249002799.6388
2025-04-29 18:28:00,136511000.0,136697000.0,136510000.0,136638000.0,0.23383904,31944269.71652
2025-04-29 18:29:00,136699000.0,136728000.0,136622000.0,136622000.0,1.45297127,198530593.28691
2025-04-29 18:30:00,136728000.0,136736000.0,136692000.0,136728000.0,0.54528333,74556393.27852
2025-04-29 18:31:00,136692000.0,136734000.0,136606000.0,136608000.0,2.13306316,291552583.58298
2025-04-29 18:32:00,136733000.0,136733000.0,136610000.0,136610000.0,0.10868591,14853640.4965
2025-04-29 18:33:00,136717000.0,136736000.0,136610000.0,136727000.0,0.18874577,25801413.33386
2025-04-29 18:34:00,136727000.0,136727000.0,136611000.0,136631000.0,0.33930697,46369377.4524
2025-04-29 18:35:00,136725000.0,136727000.0,136631000.0,136727000.0,0.40247592,55027349.24224
2025-04-29 18:36:00,136727000.0,136800000.0,136631000.0,136753000.0,0.96850094,132420735.12521
2025-04-29 18:37:00,136753000.0,136768000.0,136670000.0,136768000.0,0.1623939,22206555.96104
2025-04-29 18:38:00,136768000.0,136798000.0,136664000.0,136667000.0,0.23559044,32218778.98004
2025-04-29 18:39:00,136797000.0,136797000.0,136669000.0,136700000.0,0.18972615,25937490.37881
2025-04-29 18:40:00,136700000.0,136800000.0,136700000.0,136796000.0,0.58440566,79929622.75942
2025-04-29 18:41:00,136800000.0,136800000.0,136796000.0,136797000.0,0.14316735,19584903.59161
2025-04-29 18:42:00,136799000.0,136831000.0,136796000.0,136831000.0,1.76618739,241615531.808
2025-04-29 18:43:00,136831000.0,136850000.0,136785000.0,136791000.0,1.35704718,185661704.06207
2025-04-29 18:44:00,136799000.0,136848000.0,136728000.0,136826000.0,0.19156045,26208663.45121
2025-04-29 18:45:00,136826000.0,136848000.0,136790000.0,136824000.0,0.61006857,83465309.67947
2025-04-29 18:46:00,136824000.0,136827000.0,136742000.0,136750000.0,0.10023239,13706799.17528
2025-04-29 18:47:00,136750000.0,136750000.0,136747000.0,136747000.0,0.14474287,19793329.18398
2025-04-29 18:48:00,136747000.0,136747000.0,136729000.0,136747000.0,0.32076017,43861706.75852
2025-04-29 18:49:00,136747000.0,136750000.0,136700000.0,136728000.0,0.60164225,82267820.64824
2025-04-29 18:50:00,136749000.0,136749000.0,136700000.0,136700000.0,0.05684026,7770730.27755
2025-04-29 18:51:00,136700000.0,136748000.0,136686000.0,136686000.0,0.31512117,43076418.51254
2025-04-29 18:52:00,136690000.0,136690000.0,136669000.0,136679000.0,0.45435606,62102036.60895
2025-04-29 18:53:00,136679000.0,136748000.0,136670000.0,136740000.0,0.26107249,35686240.55328
2025-04-29 18:54:00,136740000.0,136802000.0,136718000.0,136802000.0,0.2558591,34984266.13554
2025-04-29 18:55:00,136743000.0,136823000.0,136742000.0,136823000.0,0.28478213,38946938.17797
2025-04-29 18:56:00,136823000.0,136899000.0,136749000.0,136871000.0,0.96181748,131628333.85266
2025-04-29 18:57:00,136899000.0,136900000.0,136872000.0,136872000.0,1.00324736,137341467.6763
2025-04-29 18:58:00,136900000.0,136900000.0,136870000.0,136884000.0,0.48446799,66318658.74098
2025-04-29 18:59:00,136884000.0,136900000.0,136850000.0,136850000.0,0.45899553,62826259.53368
2025-04-29 19:00:00,136884000.0,136884000.0,136829000.0,136883000.0,0.4320254,59133998.56159
2025-04-29 19:01:00,136884000.0,136884000.0,136829000.0,136884000.0,0.25150245,34426387.95109
2025-04-29 19:02:00,136884000.0,136885000.0,136825000.0,136885000.0,1.02019222,139600672.71522
2025-04-29 19:03:00,136885000.0,136900000.0,136884000.0,136888000.0,0.52825702,72312503.82543
2025-04-29 19:04:00,136900000.0,136900000.0,136888000.0,136899000.0,0.37708092,51620102.09412
2025-04-29 19:05:00,136899000.0,136900000.0,136899000.0,136899000.0,0.26385491,36121684.46006
2025-04-29 19:06:00,136900000.0,136900000.0,136888000.0,136889000.0,0.3370589,46142241.30219
2025-04-29 19:07:00,136899000.0,136900000.0,136889000.0,136900000.0,0.24437936,33455050.69108
2025-04-29 19:08:00,136900000.0,136900000.0,136827000.0,136827000.0,0.72184802,98809202.26725
2025-04-29 19:09:00,136827000.0,136827000.0,136826000.0,136826000.0,0.13875037,18984772.3121
2025-04-29 19:10:00,136826000.0,136887000.0,136800000.0,136887000.0,0.40972433,56060047.19966
2025-04-29 19:11:00,136887000.0,136899000.0,136820000.0,136887000.0,0.12887662,17639527.44629
2025-04-29 19:12:00,136887000.0,136898000.0,136880000.0,136886000.0,0.2157618,29535000.22576
2025-04-29 19:13:00,136886000.0,136887000.0,136886000.0,136887000.0,0.248212,33976823.03578
2025-04-29 19:14:00,136887000.0,136898000.0,136886000.0,136898000.0,0.56089152,76779871.81112
2025-04-29 19:15:00,136898000.0,136898000.0,136887000.0,136889000.0,0.31509002,43133851.5412
2025-04-29 19:16:00,136889000.0,136900000.0,136886000.0,136900000.0,0.42455969,58118106.07294
2025-04-29 19:17:00,136900000.0,136925000.0,136899000.0,136924000.0,0.75295908,103082077.38489
2025-04-29 19:18:00,136925000.0,136945000.0,136924000.0,136941000.0,0.78210917,107100760.60234
2025-04-29 19:19:00,136945000.0,136945000.0,136828000.0,136925000.0,1.33850752,183250770.55407
2025-04-29 19:20:00,136829000.0,136945000.0,136793000.0,136938000.0,0.65214999,89255761.51861
2025-04-29 19:21:00,136938000.0,136944000.0,136878000.0,136879000.0,0.28876343,39535203.58864
2025-04-29 19:22:00,136940000.0,136944000.0,136878000.0,136878000.0,0.11609595,15891902.88539
2025-04-29 19:23:00,136879000.0,136880000.0,136878000.0,136880000.0,0.28395258,38867215.354
2025-04-29 19:24:00,136880000.0,136880000.0,136835000.0,136865000.0,0.82437763,112838942.55883
2025-04-29 19:25:00,136835000.0,136860000.0,136820000.0,136835000.0,0.44226905,60517466.2161
2025-04-29 19:26:00,136835000.0,136835000.0,136814000.0,136822000.0,0.23545834,32215601.8767
2025-04-29 19:27:00,136822000.0,136880000.0,136814000.0,136880000.0,0.84813679,116052964.45411
2025-04-29 19:28:00,136880000.0,136920000.0,136836000.0,136920000.0,0.17436142,23866167.23045
2025-04-29 19:28:00,136880000.0,136920000.0,136836000.0,136920000.0,0.17432142,23860690.43045
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136944000.0,0.4164854,57026478.66685
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136921000.0,0.26616043,36441843.49917
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136921000.0,0.26606043,36428151.39917
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136920000.0,0.26264241,35960147.61443
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136944000.0,0.40420185,55344313.7615
2025-04-29 19:29:00,136920000.0,136920000.0,136920000.0,136920000.0,0.00088549,121241.2908
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136945000.0,0.4135607,56625958.55005
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136933000.0,0.26286673,35990864.42499
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136890000.0,0.0434511,5948480.02433
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136920000.0,0.02427664,3323449.42315
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136889000.0,0.02798568,3831177.78443
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136920000.0,0.30366986,41577646.36217
2025-04-29 19:29:00,136920000.0,136920000.0,136920000.0,136920000.0,0.0006664,91243.488
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136944000.0,0.37735881,51668320.49174
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136920000.0,0.02432776,3330448.77355
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136890000.0,0.18974096,25978481.08043
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136944000.0,0.40712655,55744833.8783
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136889000.0,0.01727664,2365009.42315
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136920000.0,0.03601555,4930627.58483
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136920000.0,0.18952179,25948478.89913
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136933000.0,0.33350784,45663189.8396
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136945000.0,0.3676903,50344276.0583
2025-04-29 19:29:00,136920000.0,136933000.0,136889000.0,136920000.0,0.32371893,44322765.02657
2025-04-29 19:29:00,136920000.0,136945000.0,136889000.0,136945000.0,0.36761833,50334420.12665
2025-04-29 19:29:00,136920000.0,136920000.0,136889000.0,136890000.0,0.04341555,5943613.58483
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136933000.0,0.31532807,43182270.50463
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.30502736,41771647.48488
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136945000.0,0.31359014,42944277.39198
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.00675369,924883.0335
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.27852748,38142648.09429
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136933000.0,0.27630609,37838447.51196
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.00685369,938577.5335
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136945000.0,0.30628794,41944277.61298
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.18160792,24870224.68897
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136944000.0,0.00397347,544145.8056
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.26581248,36401538.01383
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136945000.0,0.31468547,43094277.35883
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136933000.0,0.2376158,32540276.52109
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.00196951,269713.57744
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136921000.0,0.24752198,33896727.20083
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136933000.0,0.26754269,36638448.85976
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.2372382,32488569.01385
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.04618466,6324757.22015
2025-04-29 19:30:00,136944000.0,136945000.0,136944000.0,136945000.0,0.00389943,534006.47184
2025-04-29 19:30:00,136944000.0,136945000.0,136920000.0,136920000.0,0.10097185,13827516.94576
2025-04-29 19:30:00,136944000.0,136946000.0,136920000.0,136946000.0,0.30141737,41277311.34068
